Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2014,22,Aguascalientes,14,49,113,,0,2,3,,0,0,2,
2014,22,Baja California,56,169,722,,7,48,54,,3,15,29,
2014,22,Baja California Sur,19,52,176,,1,9,6,,0,1,4,
2014,22,Campeche,26,69,232,,0,10,10,,0,7,8,
2014,22,Coahuila,32,148,536,,8,59,67,,4,10,24,
2014,22,Colima,20,85,292,,3,17,32,,0,2,4,
2014,22,Chiapas,19,62,273,,2,31,30,,1,8,9,
2014,22,Chihuahua,124,297,1094,,5,65,91,,2,12,32,
2014,22,Distrito Federal,328,1441,3805,,0,42,92,,5,25,34,
2014,22,Durango,25,129,476,,1,17,15,,0,3,5,
2014,22,Guanajuato,2,33,164,,0,5,7,,0,0,2,
2014,22,Guerrero,11,56,173,,4,40,20,,1,5,10,
2014,22,Hidalgo,49,103,436,,5,39,39,,0,5,4,
2014,22,Jalisco,133,420,877,,3,33,39,,0,8,10,
2014,22,México,124,482,1770,,10,140,114,,8,31,34,
2014,22,Michoacán,54,177,711,,4,75,52,,2,20,16,
2014,22,Morelos,62,175,743,,1,45,24,,0,5,12,
2014,22,Nayarit,30,109,380,,3,17,14,,1,6,13,
2014,22,Nuevo León,72,274,950,,10,73,79,,5,34,49,
2014,22,Oaxaca,19,103,394,,1,28,24,,0,8,9,
2014,22,Puebla,15,62,247,,1,28,9,,0,1,3,
2014,22,Querétaro,9,46,114,,0,5,4,,0,2,0,
2014,22,Quintana Roo,9,43,185,,1,18,17,,0,2,12,
2014,22,San Luis Potosí,54,153,593,,1,11,17,,1,6,4,
2014,22,Sinaloa,43,153,721,,6,78,89,,1,25,41,
2014,22,Sonora,48,179,752,,6,48,42,,3,27,33,
2014,22,Tabasco,18,124,368,,1,26,11,,0,2,6,
2014,22,Tamaulipas,71,213,814,,13,87,74,,4,15,27,
2014,22,Tlaxcala,0,19,37,,0,8,8,,0,0,1,
2014,22,Veracruz,64,329,1192,,1,51,40,,0,16,39,
2014,22,Yucatán,33,95,429,,3,36,25,,1,11,23,
2014,22,Zacatecas,27,77,287,,1,8,2,,0,0,2,
