Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2025,06,Aguascalientes,37,41,122,152,2,3,0,4,0,4,0,3
2025,06,Baja California,109,181,314,489,3,8,4,19,2,2,3,8
2025,06,Baja California Sur,15,12,45,95,0,1,1,9,2,2,0,2
2025,06,Campeche,25,54,109,137,3,7,6,13,0,3,1,2
2025,06,Coahuila,68,59,166,249,5,6,7,32,8,2,7,12
2025,06,Colima,71,91,165,302,5,15,5,19,1,2,3,7
2025,06,Chiapas,63,57,224,386,4,9,8,7,1,0,2,1
2025,06,Chihuahua,156,171,446,807,10,27,26,51,6,10,14,14
2025,06,Ciudad de México,486,533,1488,2359,4,7,10,42,1,3,5,9
2025,06,Durango,94,84,289,455,5,18,19,39,1,6,2,6
2025,06,Guanajuato,113,111,418,574,7,12,12,17,2,2,2,5
2025,06,Guerrero,66,42,190,271,4,9,6,15,0,1,0,2
2025,06,Hidalgo,71,39,238,331,0,2,4,10,2,0,6,1
2025,06,Jalisco,249,310,549,939,19,30,31,76,5,5,9,13
2025,06,México,216,229,739,1204,6,23,17,41,5,5,4,8
2025,06,Michoacán,171,181,493,508,14,35,22,44,1,3,2,7
2025,06,Morelos,45,71,202,282,3,13,11,40,0,0,2,6
2025,06,Nayarit,79,108,218,277,1,1,2,1,0,2,2,3
2025,06,Nuevo León,128,116,358,473,6,13,9,27,2,5,9,8
2025,06,Oaxaca,50,61,141,184,4,10,7,16,4,2,7,8
2025,06,Puebla,67,87,237,319,0,4,6,6,1,3,3,2
2025,06,Querétaro,38,34,113,138,1,2,2,7,0,0,0,3
2025,06,Quintana Roo,26,34,96,191,8,12,9,5,1,0,2,2
2025,06,San Luis Potosí,83,64,210,353,2,4,5,20,0,0,0,10
2025,06,Sinaloa,68,114,284,570,12,19,24,50,5,6,9,16
2025,06,Sonora,81,68,175,289,2,4,2,19,0,2,3,10
2025,06,Tabasco,111,93,232,486,1,5,4,13,1,4,2,3
2025,06,Tamaulipas,50,53,181,379,7,12,19,37,1,2,5,13
2025,06,Tlaxcala,41,35,117,98,0,1,0,0,0,0,0,0
2025,06,Veracruz,156,131,438,599,11,35,36,82,3,9,6,13
2025,06,Yucatán,91,93,294,332,1,6,8,10,2,0,2,6
2025,06,Zacatecas,29,43,142,189,1,0,2,3,0,0,0,1
