Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2016,12,Aguascalientes,69,141,401,462,4,12,14,10,2,2,6,2
2016,12,Baja California,60,118,500,577,4,25,21,57,1,14,15,33
2016,12,Baja California Sur,14,51,133,188,1,7,5,8,0,5,3,3
2016,12,Campeche,20,50,183,173,2,12,4,5,2,4,2,2
2016,12,Coahuila,12,38,119,390,0,5,8,51,0,1,1,18
2016,12,Colima,23,68,255,184,4,26,14,30,1,2,1,3
2016,12,Chiapas,18,49,189,353,1,26,16,28,0,9,4,10
2016,12,Chihuahua,198,535,1174,1083,13,52,55,21,7,20,26,4
2016,12,Distrito Federal,365,931,2861,2737,14,65,61,31,9,17,34,17
2016,12,Durango,68,272,731,900,6,30,24,59,2,6,12,11
2016,12,Guanajuato,32,81,282,105,2,26,18,4,2,7,5,3
2016,12,Guerrero,17,63,264,286,5,15,13,42,1,9,9,14
2016,12,Hidalgo,19,79,234,342,0,19,14,24,0,1,6,2
2016,12,Jalisco,147,442,1301,1020,13,104,86,60,4,15,33,15
2016,12,México,164,326,1183,1161,14,84,66,102,1,7,18,19
2016,12,Michoacán,68,167,458,573,7,28,22,21,1,6,7,3
2016,12,Morelos,27,92,328,543,3,39,25,58,2,5,4,24
2016,12,Nayarit,27,55,229,243,2,17,13,24,2,4,5,12
2016,12,Nuevo León,72,152,524,231,1,27,26,50,6,14,23,3
2016,12,Oaxaca,28,78,250,322,9,36,25,66,6,8,10,10
2016,12,Puebla,55,142,413,593,5,31,39,106,0,6,5,12
2016,12,Querétaro,17,47,165,236,3,12,7,13,1,1,2,9
2016,12,Quintana Roo,22,103,230,171,1,8,5,13,1,2,2,4
2016,12,San Luis Potosí,65,129,452,615,7,20,12,44,2,4,5,16
2016,12,Sinaloa,76,202,707,743,19,83,93,117,4,31,24,48
2016,12,Sonora,47,127,488,585,1,27,27,46,1,12,26,25
2016,12,Tabasco,26,79,211,302,1,9,7,23,1,4,5,4
2016,12,Tamaulipas,50,293,519,525,6,26,33,35,4,12,22,8
2016,12,Tlaxcala,13,20,80,65,0,8,13,11,0,2,5,3
2016,12,Veracruz,68,219,741,622,14,54,68,44,7,13,27,17
2016,12,Yucatán,20,61,191,369,1,9,4,20,0,6,7,23
2016,12,Zacatecas,33,40,140,178,0,8,1,8,0,5,0,3
