Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2014,49,Aguascalientes,23,249,638,,1,4,12,,0,3,5,
2014,49,Baja California,6,326,1304,,0,72,89,,0,22,56,
2014,49,Baja California Sur,12,158,534,,0,23,14,,0,5,6,
2014,49,Campeche,20,170,479,,0,9,10,,0,8,12,
2014,49,Coahuila,31,369,1431,,8,141,151,,4,30,59,
2014,49,Colima,15,169,618,,4,49,60,,0,4,13,
2014,49,Chiapas,55,196,1069,,4,104,67,,1,21,25,
2014,49,Chihuahua,118,1033,3420,,2,118,159,,2,45,76,
2014,49,Distrito Federal,241,3292,9069,,4,90,105,,0,39,53,
2014,49,Durango,75,441,1617,,0,43,38,,0,6,11,
2014,49,Guanajuato,4,101,378,,0,13,15,,0,1,3,
2014,49,Guerrero,15,123,481,,0,104,70,,0,13,16,
2014,49,Hidalgo,36,291,1237,,4,88,95,,0,8,13,
2014,49,Jalisco,157,916,2767,,18,130,122,,6,28,50,
2014,49,México,93,1171,4515,,6,304,237,,2,74,72,
2014,49,Michoacán,54,501,1873,,2,122,82,,0,43,28,
2014,49,Morelos,29,354,1596,,1,50,33,,0,5,17,
2014,49,Nayarit,29,340,1096,,4,61,51,,2,28,49,
2014,49,Nuevo León,13,652,2277,,0,166,170,,1,84,101,
2014,49,Oaxaca,22,266,905,,6,110,63,,0,11,14,
2014,49,Puebla,33,266,949,,5,75,69,,0,3,11,
2014,49,Querétaro,10,113,341,,0,8,4,,0,3,2,
2014,49,Quintana Roo,7,74,304,,3,31,26,,0,5,16,
2014,49,San Luis Potosí,34,474,1646,,0,14,34,,1,9,16,
2014,49,Sinaloa,26,451,1814,,3,179,181,,1,66,100,
2014,49,Sonora,14,423,1475,,0,84,71,,0,45,49,
2014,49,Tabasco,24,228,882,,0,47,18,,0,3,8,
2014,49,Tamaulipas,47,636,2153,,9,192,174,,1,38,64,
2014,49,Tlaxcala,5,39,129,,0,17,12,,0,0,2,
2014,49,Veracruz,65,567,2241,,1,118,95,,1,26,51,
2014,49,Yucatán,8,240,970,,0,69,45,,0,20,33,
2014,49,Zacatecas,17,215,696,,0,19,6,,0,1,2,
