Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2019,50,Aguascalientes,30,414,1240,1448,2,42,37,79,0,6,12,24
2019,50,Baja California,105,1229,3115,4915,1,136,114,249,5,58,120,103
2019,50,Baja California Sur,19,201,606,806,1,29,16,39,0,5,3,14
2019,50,Campeche,31,304,833,1303,0,29,21,65,0,13,15,26
2019,50,Coahuila,43,439,1276,956,5,124,103,43,2,41,50,13
2019,50,Colima,31,336,1258,1424,10,107,127,98,5,16,43,31
2019,50,Chiapas,21,270,934,1574,2,92,56,167,4,10,42,48
2019,50,Chihuahua,211,3043,7171,10452,5,255,250,541,4,108,175,201
2019,50,Ciudad de México,382,5071,13954,17734,14,664,626,1006,5,75,120,222
2019,50,Durango,98,1075,3562,4225,4,112,121,256,1,17,42,73
2019,50,Guanajuato,47,651,2381,2899,2,87,67,150,2,22,33,51
2019,50,Guerrero,30,480,1672,1707,2,42,40,86,2,9,15,28
2019,50,Hidalgo,48,574,1989,2140,1,65,53,127,1,27,31,33
2019,50,Jalisco,174,2490,6549,9910,19,431,352,874,4,104,195,298
2019,50,México,134,2048,6173,8714,10,311,239,412,2,49,71,99
2019,50,Michoacán,89,929,2402,4350,6,149,139,288,4,51,71,71
2019,50,Morelos,82,614,2146,2232,6,150,113,256,0,23,33,47
2019,50,Nayarit,158,1129,3093,2888,4,62,37,94,2,50,67,91
2019,50,Nuevo León,86,1142,3330,3761,9,177,151,297,1,63,95,186
2019,50,Oaxaca,27,408,1229,1589,4,79,81,176,2,21,36,57
2019,50,Puebla,41,868,1885,2248,4,92,102,208,0,13,25,47
2019,50,Querétaro,13,225,719,974,1,32,34,55,1,19,13,25
2019,50,Quintana Roo,27,300,1069,1152,1,28,16,84,1,12,15,20
2019,50,San Luis Potosí,53,700,2122,3211,5,88,82,205,0,21,35,37
2019,50,Sinaloa,117,1049,3316,4392,12,249,232,518,1,92,146,221
2019,50,Sonora,33,473,1766,2137,2,110,75,231,2,42,58,98
2019,50,Tabasco,57,545,1736,1456,3,91,62,95,3,54,87,38
2019,50,Tamaulipas,102,1298,3065,5225,6,157,121,352,3,66,89,181
2019,50,Tlaxcala,16,143,592,654,0,38,26,65,0,7,10,15
2019,50,Veracruz,130,1644,4963,6152,11,382,321,629,0,77,138,190
2019,50,Yucatán,36,320,1365,1797,1,41,46,97,1,17,26,39
2019,50,Zacatecas,30,508,1418,1578,6,39,52,44,1,8,18,15
