Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2019,30,Aguascalientes,45,252,686,923,0,29,17,46,1,5,7,15
2019,30,Baja California,74,745,1816,2813,4,73,83,122,1,37,70,55
2019,30,Baja California Sur,18,126,341,458,2,20,9,17,0,4,0,8
2019,30,Campeche,10,172,427,830,1,17,16,35,0,8,8,12
2019,30,Coahuila,27,242,698,699,6,82,64,33,1,26,36,11
2019,30,Colima,40,208,799,837,5,46,45,64,4,5,12,27
2019,30,Chiapas,25,177,545,905,1,54,35,105,2,7,25,30
2019,30,Chihuahua,209,1818,4310,5820,14,163,161,321,2,56,114,117
2019,30,Ciudad de México,372,3240,8789,9940,8,557,520,311,8,47,80,119
2019,30,Durango,103,610,2140,2538,4,59,76,161,3,12,26,35
2019,30,Guanajuato,67,398,1428,1760,4,59,47,85,0,14,20,25
2019,30,Guerrero,18,284,998,880,4,30,29,52,1,3,9,16
2019,30,Hidalgo,63,327,1167,1239,4,34,39,79,1,15,20,21
2019,30,Jalisco,204,1425,3775,6050,10,237,197,540,8,42,116,174
2019,30,México,137,1146,3565,5257,11,189,142,230,1,30,45,56
2019,30,Michoacán,64,523,1357,2551,9,83,71,181,0,22,40,54
2019,30,Morelos,37,291,1085,1279,2,92,63,150,0,16,20,31
2019,30,Nayarit,119,520,1373,992,0,33,20,54,1,18,41,52
2019,30,Nuevo León,95,680,1972,2084,4,93,98,175,3,39,58,101
2019,30,Oaxaca,21,240,701,866,1,44,52,78,0,14,24,28
2019,30,Puebla,78,552,1127,1163,3,40,54,122,2,9,17,25
2019,30,Querétaro,23,126,452,515,2,20,25,33,0,13,8,16
2019,30,Quintana Roo,23,178,705,592,2,16,7,54,0,6,8,12
2019,30,San Luis Potosí,54,420,1265,1945,1,45,29,147,1,15,17,24
2019,30,Sinaloa,91,566,1888,2753,8,129,151,306,9,59,85,128
2019,30,Sonora,54,269,1019,1323,2,74,55,156,4,25,40,51
2019,30,Tabasco,39,272,944,910,5,54,35,59,2,26,47,22
2019,30,Tamaulipas,76,815,1888,3262,6,99,74,234,4,43,60,124
2019,30,Tlaxcala,17,79,343,385,0,28,12,36,1,4,8,9
2019,30,Veracruz,109,1093,3161,3632,27,224,196,395,5,57,96,114
2019,30,Yucatán,24,208,845,1010,1,22,21,57,0,12,7,17
2019,30,Zacatecas,28,285,810,907,3,23,28,30,1,5,10,9
